gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,population_response_correlation,median_per_neuron_response_change,median_relative_response_change,fraction_large_response_change,rdm_similarity_to_baseline,image_discriminability,shifted_image_discriminability,condition,summary_radius
5.0,5.0,9.722081489855697,35.255104966856436,0.49375,1.2645365242892694,0.0056122602137057,-0.0056122602137057,0.07968298333450324,-0.025540011311347508,7.5955715808609146,1.049323446605326,0.98125,0.40314765179898615,0.9645812799327296,0.9759220107690446,gaze_plus_mapping_error_noiseless,10.0
0.0,0.0,3.682794714480629,16.112382544280454,0.20625,0.26055912514639346,0.0006927070034819516,-0.0006927070034819099,0.06263319602426798,0.9999510441122359,0.08770824500538488,0.013135486876625045,0.00625,0.9999880436105607,0.9645923555925897,0.9646037782362722,gaze_plus_noise_perfect,0.0
1.0,0.0,4.328891426769829,24.87282018805288,0.21875,0.2881559934158844,-0.01238391269150474,0.01238391269150474,0.07669319687168114,0.9450783531778396,2.440582147164826,0.4040823706126224,0.35,0.9817052797406912,0.9645923555925897,0.9680556088728435,gaze_plus_noise_perfect,1.0
2.0,0.0,5.6887313971704145,25.720458373411013,0.35625,0.5239599130088379,0.014388461697382782,-0.014388461697382782,0.07922170957714689,0.8145825353835119,4.584344275450618,0.7351886156662835,0.70625,0.9386082856027497,0.9645923555925897,0.9588304335201931,gaze_plus_noise_perfect,2.0
3.0,0.0,7.029330515127782,30.387863447645277,0.38125,1.0895566944098078,-0.011702693789069463,0.011702693789069463,0.08166584061587379,0.649175559130179,5.959253490513539,0.937174695598708,0.83125,0.9211260920733472,0.9645923555925897,0.9533996861869074,gaze_plus_noise_perfect,3.0
4.0,0.0,8.015859248251644,31.416657172227087,0.44375,1.8730434680955028,-0.02531205014090976,0.02531205014090976,0.09213919312365065,0.4775326741031722,7.063377388194189,1.0463460480172253,0.8875,0.933971779961836,0.9645923555925897,0.9694751174288039,gaze_plus_noise_perfect,4.0
5.0,0.0,8.925348001492083,38.948009780027384,0.45,0.21229553693930114,-0.006579614510468679,0.006579614510468679,0.09982703148762839,0.3266445105190134,7.908869896895118,1.074887164465621,0.9375,0.9373678113267341,0.9645923555925897,0.9857319454965058,gaze_plus_noise_perfect,5.0
0.0,1.0,4.684750782333246,29.42251724970855,0.25625,0.7779129566187493,-0.007812952574697274,0.007812952574697274,0.06777355464525853,0.9198494481614555,2.588923167796824,0.3981406670348923,0.375,0.9833376633029824,0.9645923555925897,0.9658214233504436,gaze_plus_noise_perfect,1.0
1.0,1.0,4.274361997367706,19.080624060346793,0.24375,0.26495265580444993,0.01122864803501794,-0.01122864803501794,0.07579710377270782,0.883752976290731,3.3289730277973426,0.5326134387888093,0.51875,0.9542150411846408,0.9645923555925897,0.9735343596828959,gaze_plus_noise_perfect,2.0
2.0,1.0,4.46810151270752,27.12975586701088,0.34375,1.0828707177517174,-0.0016118594943630993,0.0016118594943630993,0.07595364678630138,0.7677209651046253,5.0985769167452135,0.8147578760113013,0.75625,0.906608622148199,0.9645923555925897,0.9744492193184092,gaze_plus_noise_perfect,3.0
3.0,1.0,6.944875942502861,30.94390125553412,0.39375,1.2424092011223493,-0.005396886093109954,0.005396886093109954,0.07908973008939732,0.6070287707932961,6.261521906641052,0.9707718262358611,0.8625,0.896076694919376,0.9645923555925897,0.9719276231143107,gaze_plus_noise_perfect,4.0
4.0,1.0,8.479287954900421,32.909972392103526,0.44375,0.4406053169523858,-0.0070705092961471094,0.0070705092961471094,0.0863575840518119,0.4391086572433341,7.281453216052821,1.032228919224452,0.89375,0.9276646493823207,0.9645923555925897,0.9785845482994865,gaze_plus_noise_perfect,5.0
5.0,1.0,10.216628206772086,34.380219630323644,0.50625,1.7765109486204338,-0.023910985487246184,0.023910985487246184,0.09224943738299338,0.2882904063433883,7.95702956028033,1.0800355472241088,0.9375,0.9307492893814676,0.9645923555925897,0.9821820935984684,gaze_plus_noise_perfect,6.0
0.0,2.0,6.15003604005566,44.28621794362489,0.33125,-0.023066882636015862,-0.01469513711067022,0.01469513711067022,0.0627983713056729,0.7238101398075248,4.774746775344786,0.7644267902415549,0.725,0.9169793566904035,0.9645923555925897,0.9716245774815035,gaze_plus_noise_perfect,2.0
